objekt_id,breitengrad,laengengrad,gemeindebezirk_code,gemeindebezirk_bisher,gemeindebezirk_polygon,zaehlgebiet_code,zaehlbezirk_code,sub_district_code,prognoseregion_code,gebietstyp_code,gebietstyp,aggregierter_gebietstyp_code,aggregierter_gebietstyp,zuordnungsmethode,geometrie_datenstand,anzahl_polygon_treffer,grenzfall,grenznah_unter_1m,grenzdistanz_meter,bezirk_konsistent,zaehlbezirk_konsistent,qualitaetsstatus
18545,48.228853,16.332965,18,18,18,18020,1802,91802,18B,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,26.902,1,1,eindeutig_zugeordnet
18541,48.183639,16.407608,11,11,11,11020,1102,91102,11A,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,49.982,1,1,eindeutig_zugeordnet
18547,48.198988,16.344323,7,7,7,07034,0703,90703,7A,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,27.929,1,1,eindeutig_zugeordnet
18548,48.208243,16.377386,1,1,1,01012,0101,90101,1A,A,"Zentrum, Altstadt und Gründerzeit",AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,27.285,1,1,eindeutig_zugeordnet
18549,48.156128,16.395199,10,10,10,10160,1016,91016,10J,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,7.898,1,1,eindeutig_zugeordnet
18546,48.199170,16.268231,14,14,14,14070,1407,91407,14B,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,34.603,1,1,eindeutig_zugeordnet
18550,48.244729,16.328074,19,19,19,19105,1910,91910,19A,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,45.729,1,1,eindeutig_zugeordnet
18551,48.200838,16.438130,2,2,2,02080,0208,90208,2D,R,Einfamilienhäuser und Kleingärten,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,85.196,1,1,eindeutig_zugeordnet
18552,48.159850,16.464666,11,11,11,11111,1111,91111,11D,X,heterogene Bebauung mit Überhang an Einfamilien- und Reihenhäusern,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,40.287,1,1,eindeutig_zugeordnet
18553,48.225575,16.455460,22,22,22,22190,2219,92219,22I,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,133.508,1,1,eindeutig_zugeordnet
