Hauptwohnsitzbevoelkerung nach Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2021 | Population with main resisidence by housing in 250 sub-districts in Vienna - Census 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_WSA_TOTAL;WHG_POP_TOTAL;HAR_1;HAR_2;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_0;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_0;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_0;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_DRM_0;WHG_DRM_1;WHG_DRM_2;WHG_DRM_3;WHG_DRM_4;WHG_DRM_5;WHG_DRM_6;WHG_DRM_7;WHG_DRM_8;WHG_DFS_0;WHG_DFS_1;WHG_DFS_2;WHG_DFS_3;WHG_DFS_4;WHG_DFS_5;WHG_DFS_6;WHG_DFS_7;WHG_DFS_8;WHG_AUSST_0;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;DEM_GESCHL_1;DEM_GESCHL_2;DEM_GEBSTAAT_1;DEM_GEBSTAAT_2;DEM_GEBSTAAT_3;DEM_GEBSTAAT_4;DEM_GEBSTAAT_5;DEM_GEBSTAAT_6;DEM_FAMST_1;DEM_FAMST_2;DEM_FAMST_3;DEM_FAMST_4;EDU_HAB_NAT_0;EDU_HAB_NAT_1;EDU_HAB_NAT_2;EDU_HAB_NAT_3;ERW_STATUS_1;ERW_STATUS_2;ERW_STATUS_3;ERW_STATUS_4;ERW_STATUS_5;ERW_STATUS_6;AST_OENACE_1;AST_OENACE_2;AST_OENACE_3;AST_OENACE_4;AST_OENACE_5;HST_1;HST_2;HST_3;HST_4;HST_5;REF_DATE
AT1;AT13;AT130;90300;90305;4370;8459;8456;3;2;2111;2558;3248;540;159;105;1372;6454;369;159;368;1048;6448;436;159;833;1500;3484;2171;312;159;163;1203;1491;956;1161;1411;336;1579;159;129;628;858;1987;1614;1749;773;562;159;7927;373;0;0;4100;141;380;771;653;496;996;87;835;4028;4431;5029;635;949;565;165;1116;4412;2940;390;717;980;2380;2381;2718;4303;385;980;1513;491;787;10;413;4178;34;3824;5507;2794;156;2;0;20211031
AT1;AT13;AT130;90300;90306;8103;14719;14712;7;7;4328;4422;5270;692;116;144;1256;12596;607;116;904;2828;10353;518;116;2812;3695;5666;2115;315;116;367;2160;3240;1211;1905;2736;430;2554;116;318;1340;2058;3497;2756;2989;1066;579;116;13841;759;0;3;6529;2413;2148;1217;450;652;318;246;746;7082;7637;9021;765;1555;1187;422;1769;7493;4848;772;1606;1600;5723;3829;3567;7164;937;1600;2867;666;1485;23;819;7124;52;6701;9101;5502;109;7;0;20211031
AT1;AT13;AT130;90300;90307;3831;7390;7386;4;4;1957;2122;2894;413;238;38;733;6087;294;238;478;1622;4962;90;238;1009;2109;3079;817;138;238;134;1268;2056;485;936;1303;110;860;238;106;575;1042;2103;1262;1466;461;137;238;6941;208;0;3;862;72;1545;659;247;74;375;198;3358;3517;3873;4299;322;799;695;270;1005;4027;2282;412;669;1046;2753;1843;1748;3818;416;1046;1097;374;639;4;415;3749;27;3195;4768;2428;190;4;0;20211031
AT1;AT13;AT130;90300;90308;1013;2411;2409;2;1;533;690;852;335;444;113;4;1791;59;444;16;141;1633;177;444;34;176;1037;468;252;444;17;150;326;259;294;426;110;385;444;17;27;140;432;518;429;251;153;444;1950;14;3;0;849;2;129;598;8;436;12;6;371;1206;1205;1589;214;215;97;45;251;1274;751;145;241;273;753;715;670;1103;172;273;443;171;249;2;104;1152;7;1146;1429;677;304;1;0;20211031
AT1;AT13;AT130;90300;90309;4497;8850;8833;17;16;2070;2646;3748;370;17;196;914;7364;359;17;250;862;6051;1670;17;572;1228;3004;2168;1861;17;75;935;1509;914;1406;1562;479;1953;17;64;369;640;1937;1754;2078;1047;944;17;8413;416;0;4;5598;310;752;458;305;527;142;400;358;4147;4703;5869;841;705;410;100;925;4489;3160;468;733;1153;1960;2463;3274;4420;277;1153;1600;503;897;15;362;4269;35;4169;5992;2842;0;16;0;20211031
AT1;AT13;AT130;90300;90310;5038;10077;10065;12;11;2454;2856;3836;920;260;63;692;8743;319;260;541;2375;6672;229;260;1601;2926;3784;1404;102;260;293;2163;2445;617;1370;1546;133;1250;260;283;952;1589;2819;1548;1923;528;175;260;9382;434;1;0;2553;2408;357;234;156;1821;80;0;2468;5000;5077;5318;634;1147;940;432;1606;5658;3177;348;894;1431;3768;2400;2478;5056;682;1431;1332;513;1063;7;532;5064;60;4414;6659;3159;248;11;0;20211031
AT1;AT13;AT130;90300;90311;2353;4820;4814;6;6;1062;1212;2368;172;6;8;741;3994;71;6;257;1035;3486;36;6;697;1039;2204;853;21;6;126;1037;1499;347;594;674;42;495;6;89;397;629;1777;672;856;258;136;6;4774;40;0;0;0;1201;714;243;0;171;2;0;2489;2296;2524;2894;190;542;399;199;596;2535;1613;165;507;867;1748;1062;1143;2406;302;867;623;191;431;1;268;2388;16;2147;3462;1352;0;6;0;20211031
AT1;AT13;AT130;90400;90401;1232;2298;2298;0;0;634;660;894;110;0;45;173;1973;107;0;170;230;1421;477;0;259;347;592;554;546;0;31;277;385;175;375;356;131;568;0;17;99;201;424;425;527;316;289;0;2195;103;0;0;1402;563;132;124;77;0;0;0;0;1129;1169;1330;223;263;89;34;359;1263;749;113;173;267;425;638;968;1144;77;267;365;127;318;10;60;1133;8;1087;1453;845;0;0;0;20211031
AT1;AT13;AT130;90400;90402;5492;11383;11366;17;4;2725;2950;4547;1157;830;176;1278;8628;471;830;367;1148;7489;1549;830;917;1641;3526;2759;1710;830;186;1305;1818;1066;1512;1714;518;2434;830;135;519;1013;2308;1866;2358;1201;1153;830;10065;487;0;1;6961;620;1329;668;264;352;179;320;690;5716;5667;6499;1160;1046;618;245;1815;6113;3818;422;1030;1390;3012;2929;4052;5520;631;1390;1659;627;1556;23;463;5572;57;5268;7084;3546;749;4;0;20211031
AT1;AT13;AT130;90400;90403;6393;12411;12403;8;1;3197;3602;4740;871;484;192;1633;9487;615;484;499;1226;8556;1646;484;874;1893;3944;3324;1892;484;136;1256;1938;1295;1866;2042;662;2732;484;107;546;885;2431;2377;2901;1456;1224;484;11264;659;1;3;8069;135;1031;1073;767;726;33;43;534;5897;6514;7768;1281;1028;626;176;1532;6794;3934;672;1011;1329;2768;3492;4822;6286;404;1329;2286;891;1215;15;449;6133;54;5760;7630;4304;476;1;0;20211031
AT1;AT13;AT130;90400;90404;3442;6938;6936;2;2;1606;2006;2846;478;205;60;933;5367;373;205;253;695;5093;692;205;512;1104;2621;1861;635;205;150;807;1221;726;987;1139;353;1350;205;124;488;691;1425;1357;1390;671;587;205;6432;301;0;0;3214;187;1998;912;181;242;176;26;2;3328;3610;4289;519;575;448;156;951;3721;2306;338;573;860;1913;1877;2288;3310;358;860;1200;528;682;8;286;3302;31;3311;4535;2198;203;2;0;20211031
