Hauptwohnsitzbevoelkerung nach Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2011 | Population with main resisidence by housing in 250 sub-districts in Vienna - Census 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_WSA_TOTAL;WHG_POP_TOTAL;HAR_1;HAR_2;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_0;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_0;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_0;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_DRM_0;WHG_DRM_1;WHG_DRM_2;WHG_DRM_3;WHG_DRM_4;WHG_DRM_5;WHG_DRM_6;WHG_DRM_7;WHG_DRM_8;WHG_DFS_0;WHG_DFS_1;WHG_DFS_2;WHG_DFS_3;WHG_DFS_4;WHG_DFS_5;WHG_DFS_6;WHG_DFS_7;WHG_DFS_8;WHG_AUSST_0;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;DEM_GESCHL_1;DEM_GESCHL_2;DEM_GEBSTAAT_1;DEM_GEBSTAAT_2;DEM_GEBSTAAT_3;DEM_GEBSTAAT_4;DEM_GEBSTAAT_5;DEM_GEBSTAAT_6;DEM_FAMST_1;DEM_FAMST_2;DEM_FAMST_3;DEM_FAMST_4;EDU_HAB_NAT_1;EDU_HAB_NAT_2;EDU_HAB_NAT_3;EDU_HAB_NAT_0;ERW_STATUS_1;ERW_STATUS_2;ERW_STATUS_3;ERW_STATUS_4;ERW_STATUS_5;ERW_STATUS_6;AST_OENACE_1;AST_OENACE_2;AST_OENACE_3;AST_OENACE_4;AST_OENACE_5;HST_1;HST_2;HST_3;HST_4;HST_5;REFDAT
AT1;AT13;AT130;90300;90304;5585;10488;10470;18;13;2841;3130;3967;537;151;134;2463;6799;941;151;678;1628;7395;636;151;1882;2419;3837;1669;530;151;408;1555;2007;739;1590;1611;350;2077;151;379;1103;1199;2298;1743;1992;1017;606;151;8642;556;185;954;5185;780;2344;1329;570;109;78;93;0;5041;5447;6116;581;1137;1269;301;1084;5121;3667;716;984;2467;4706;2093;1222;4719;547;1222;1984;712;1304;6;684;4479;77;5242;6406;3932;133;13;4;20111031
AT1;AT13;AT130;90300;90305;4078;7950;7927;23;7;1938;2394;3249;362;112;104;1111;6122;501;112;370;814;6191;463;112;769;1368;3284;2130;287;112;159;991;1488;899;1116;1350;322;1513;112;149;536;815;1927;1520;1633;751;507;112;6963;262;90;523;3902;139;397;651;545;439;1173;192;512;3758;4192;5408;443;672;613;172;642;3753;2979;457;761;1430;3615;1896;1009;3820;299;1009;1479;536;807;8;436;3622;44;3840;5322;2530;89;7;2;20111031
AT1;AT13;AT130;90300;90306;8127;14934;14901;33;33;4303;4338;5582;678;165;172;1502;12305;790;165;1029;2776;10467;497;165;3003;3782;5630;2020;334;165;450;2240;3139;1309;2023;2608;419;2581;165;430;1479;1967;3543;2731;2986;1097;536;165;12909;443;306;1111;6816;2695;2087;1139;410;713;387;261;426;7005;7929;10157;604;1074;1360;582;1157;6994;5300;1001;1639;3648;6846;2597;1843;6955;810;1843;3023;707;1596;11;861;6791;84;7187;9415;5349;132;33;5;20111031
AT1;AT13;AT130;90300;90307;2441;5223;5211;12;8;1148;1364;2059;644;416;39;283;4275;210;416;404;727;3589;87;416;872;1315;1960;559;101;416;201;871;1168;447;663;710;74;673;416;162;594;716;1345;748;850;287;105;416;4368;125;19;295;1003;38;1558;732;123;9;527;334;899;2416;2807;3433;129;487;486;250;438;2319;1812;511;581;1497;2306;669;751;2205;292;751;1213;233;529;4;285;2164;34;2736;3330;1481;404;8;0;20111031
AT1;AT13;AT130;90300;90308;779;1717;1716;1;0;358;546;492;321;261;79;1;1304;72;261;14;46;1240;156;261;35;72;698;430;221;261;10;120;164;146;197;349;101;369;261;10;46;68;228;397;306;254;147;261;1439;13;3;1;493;0;118;486;11;574;7;8;20;870;847;1395;82;98;32;7;103;659;657;167;234;373;847;346;151;644;153;151;556;63;150;3;49;723;19;923;1018;439;260;0;0;20111031
AT1;AT13;AT130;90300;90309;4357;8558;8548;10;5;2010;2564;3639;340;10;183;1006;6925;434;10;252;788;5809;1699;10;607;1193;2819;2156;1773;10;113;849;1353;950;1337;1501;506;1939;10;109;389;612;1699;1734;2107;1025;873;10;7803;341;70;334;5502;321;726;478;303;576;85;440;127;4002;4556;6100;616;601;458;105;678;3955;3298;547;758;1251;3648;2509;1150;4125;232;1150;1633;504;914;16;348;3941;49;4204;5964;2586;0;5;3;20111031
AT1;AT13;AT130;90300;90310;3784;7687;7667;20;18;1845;1974;3151;699;162;71;629;6450;375;162;465;1312;5525;223;162;1497;2041;2800;1085;102;162;301;1536;1688;638;995;1082;120;1165;162;311;892;1240;2037;1072;1349;461;163;162;6412;274;319;520;2588;2546;321;176;153;1639;75;183;6;3819;3868;4724;270;583;844;498;768;3706;2671;413;897;2382;3212;938;1155;3324;589;1155;1332;422;865;3;503;3318;73;3790;5135;2386;142;18;6;20111031
AT1;AT13;AT130;90300;90311;1438;2667;2659;8;8;748;762;1014;135;8;6;143;2434;76;8;229;491;1897;42;8;685;700;1129;132;13;8;124;448;589;246;378;431;22;421;8;118;336;327;800;356;480;179;63;8;2496;26;136;1;0;1283;676;234;0;155;16;0;303;1250;1417;1799;39;202;275;139;213;1135;888;250;394;854;1234;179;400;1103;204;400;619;79;262;1;156;1117;30;1363;1732;924;0;8;3;20111031
AT1;AT13;AT130;90400;90401;1203;2254;2250;4;4;615;664;852;119;4;26;201;1885;138;4;149;236;1388;477;4;234;378;609;524;505;4;48;259;361;154;335;407;146;540;4;31;154;159;385;408;551;271;291;4;2063;58;33;96;1391;571;117;76;60;0;0;39;0;1081;1173;1411;186;234;119;31;273;1090;790;160;214;306;948;764;236;1056;74;236;428;157;303;4;73;1039;12;1126;1414;830;0;4;6;20111031
AT1;AT13;AT130;90400;90402;5100;9709;9603;106;88;2552;2826;3850;393;128;163;1413;7456;549;128;381;986;6720;1494;128;936;1534;3178;2395;1538;128;153;1042;1594;941;1358;1589;555;2349;128;148;518;851;2079;1578;2139;1130;1138;128;8674;363;187;357;6003;642;1253;654;228;317;144;360;108;4630;5079;6221;900;759;579;207;1043;4781;3417;592;919;1584;4152;2823;1150;4556;379;1150;1695;638;1291;23;426;4421;58;4781;6260;3334;21;88;6;20111031
