gebietsebene,gebiet_code,indikator_code,stichtag,qualitaetsstatus,grund
zaehlbezirk,1404,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1405,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1406,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1407,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1408,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1409,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1410,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1411,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1412,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1501,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1502,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1503,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1504,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1505,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1506,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1507,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1601,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1602,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1603,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1604,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1605,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1606,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1607,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1608,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1609,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1610,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1701,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1702,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1703,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1704,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1705,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1706,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1801,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1802,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1803,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1804,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1805,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1901,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1902,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1903,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
