objekt_id,hofname,adresse,bezirk,bild_titel,zuordnungssicherheit,entfernung_m,quellseite_url,vorschaubild_url,fotograf,lizenz,lizenz_url,aufnahmedatum,begruendung
19094,BECKMANNGASSE 64,Beckmanngasse 64,15,"File:Beckmanngasse 66, Vienna - inscription.jpg",0.60,26.9,"https://commons.wikimedia.org/wiki/File:Beckmanngasse_66,_Vienna_-_inscription.jpg",https://upload.wikimedia.org/wikipedia/commons/b/b1/Beckmanngasse_66%2C_Vienna_-_inscription.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2021-02-12 14:36:47,Straße 'beckmanngasse' im Bildtext (+0.20) | Hervorragende Geodistanz (27m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
19106,BRIGITTENAUER LAENDE 48,Brigittenauer Lände 48,20,File:Brigittenauer Lände 48a (02).jpg,0.75,24.9,https://commons.wikimedia.org/wiki/File:Brigittenauer_L%C3%A4nde_48a_(02).jpg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Brigittenauer_L%C3%A4nde_48a_%2802%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2018-04-30 13:45:10,Straße & Hausnummer 'brigittenauer lände 48' im Bildtext (+0.35) | Hervorragende Geodistanz (25m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
19111,SCHELLEINGASSE 1,Schelleingasse 1,4,File:4. Schelleingasse - 1.jpg,0.65,33.7,https://commons.wikimedia.org/wiki/File:4._Schelleingasse_-_1.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e9/4._Schelleingasse_-_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Ricardalovesmonuments,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Taken on 13 May 2018 (according to <span lang=""en"" dir=""ltr""><a href=""https://en.wikipedia.org/wiki/Exif"" class=""extiw"" title=""en:Exif"">Exif</a></span> data)",Straße & Hausnummer 'schelleingasse 1' im Bildtext (+0.35) | Hervorragende Geodistanz (34m <= 40m) (+0.30)
19112,THALIASTRASSE 168,Thaliastraße 164,16,File:Wien Thaliastraße 164.jpg,0.75,34.7,https://commons.wikimedia.org/wiki/File:Wien_Thaliastra%C3%9Fe_164.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Wien_Thaliastra%C3%9Fe_164.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Hadi,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2017-12-28 12:20:51,Straße & Hausnummer 'thaliastraße 164' im Bildtext (+0.35) | Hervorragende Geodistanz (35m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
19205,Mithlingerhof Rasenstadt,Neilreichgasse 100,10,"File:GT Rudolf Friemel, Ernst-Ludwig-Gasse 8, Stiege 1, Vienna 02.jpg",0.75,155.9,"https://commons.wikimedia.org/wiki/File:GT_Rudolf_Friemel,_Ernst-Ludwig-Gasse_8,_Stiege_1,_Vienna_02.jpg",https://upload.wikimedia.org/wikipedia/commons/0/0d/GT_Rudolf_Friemel%2C_Ernst-Ludwig-Gasse_8%2C_Stiege_1%2C_Vienna_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2023-06-30 16:04:53,Exakter Hofname 'Mithlingerhof Rasenstadt' im Bildtext (+0.50) | Gute Geodistanz (156m <= 160m) (+0.15) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
19116,LEEBGASSE 102-106,Leebgasse 102-106,10,"File:GT Antonie Alt, Leebgasse 102–106, Stiege 3.jpg",0.75,39.4,"https://commons.wikimedia.org/wiki/File:GT_Antonie_Alt,_Leebgasse_102%E2%80%93106,_Stiege_3.jpg",https://upload.wikimedia.org/wikipedia/commons/a/a9/GT_Antonie_Alt%2C_Leebgasse_102%E2%80%93106%2C_Stiege_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2023-06-30 15:30:06,Straße & Hausnummer 'leebgasse 102' im Bildtext (+0.35) | Hervorragende Geodistanz (39m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
19211,BRIGITTAPLATZ 1-2,Brigittaplatz 1-2,20,"File:2017-06-20 AT Wien 20 Brigittenau, Brigittaplatz, Brigittapark, Pfarre St. Brigitta, E1 4807 Linie 33 (50083828201).jpg",0.60,78.9,"https://commons.wikimedia.org/wiki/File:2017-06-20_AT_Wien_20_Brigittenau,_Brigittaplatz,_Brigittapark,_Pfarre_St._Brigitta,_E1_4807_Linie_33_(50083828201).jpg",https://upload.wikimedia.org/wikipedia/commons/2/20/2017-06-20_AT_Wien_20_Brigittenau%2C_Brigittaplatz%2C_Brigittapark%2C_Pfarre_St._Brigitta%2C_E1_4807_Linie_33_%2850083828201%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Paul Korecky,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,2017-06-20 18:14,Straße & Hausnummer 'brigittaplatz 1' im Bildtext (+0.35) | Sehr gute Geodistanz (79m <= 90m) (+0.25)
19122,DOMMAYERGASSE 5,Dommayergasse 5,13,File:Naturdenkmal 182 GuentherZ 2011-08-25 0120 Wien13 Dommayergasse07 Platane.JPG,0.65,33.9,https://commons.wikimedia.org/wiki/File:Naturdenkmal_182_GuentherZ_2011-08-25_0120_Wien13_Dommayergasse07_Platane.JPG,https://upload.wikimedia.org/wikipedia/commons/a/ad/Naturdenkmal_182_GuentherZ_2011-08-25_0120_Wien13_Dommayergasse07_Platane.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GuentherZ,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,2011-08-25,Straße & Hausnummer 'dommayergasse 5' im Bildtext (+0.35) | Hervorragende Geodistanz (34m <= 40m) (+0.30)
19219,LINKE WIENZEILE 6,Linke Wienzeile 6,6,"File:Linke Wienzeile 4, 1060 Wien.JPG",0.65,81.2,"https://commons.wikimedia.org/wiki/File:Linke_Wienzeile_4,_1060_Wien.JPG",https://upload.wikimedia.org/wikipedia/commons/e/e9/Linke_Wienzeile_4%2C_1060_Wien.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,böhringer friedrich,CC BY-SA 3.0 at,https://creativecommons.org/licenses/by-sa/3.0/at/deed.en,2012-11-17,Straße & Hausnummer 'linke wienzeile 6' im Bildtext (+0.35) | Sehr gute Geodistanz (81m <= 90m) (+0.25) | Bezirksbezug (6. Bezirk) im Bildtext (+0.05)
19224,Schöffelhof,Wielemansgasse 13-23,18,File:Wien Wielemansgasse 13-23.jpg,0.60,109.4,https://commons.wikimedia.org/wiki/File:Wien_Wielemansgasse_13-23.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Wien_Wielemansgasse_13-23.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Hadi,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2017-12-23,Straße & Hausnummer 'wielemansgasse 13' im Bildtext (+0.35) | Gute Geodistanz (109m <= 160m) (+0.15) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
19233,George-Washington-Hof,Ahornhof 1-17,12,File:Wienerberg George Washington Hof 1.JPG,0.65,206.6,https://commons.wikimedia.org/wiki/File:Wienerberg_George_Washington_Hof_1.JPG,https://upload.wikimedia.org/wikipedia/commons/4/43/Wienerberg_George_Washington_Hof_1.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Thomas Ledl,CC BY-SA 3.0 at,https://creativecommons.org/licenses/by-sa/3.0/at/deed.en,2013-04-24,Exakter Hofname 'George-Washington-Hof' im Bildtext (+0.50) | Moderate Geodistanz (207m <= 250m) (+0.05) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
19130,JAGDSCHLOSSGASSE 40,Jagdschloßgasse 40,13,"File:Jagdschloßgasse 40, Vienna.jpg",0.70,87.8,"https://commons.wikimedia.org/wiki/File:Jagdschlo%C3%9Fgasse_40,_Vienna.jpg",https://upload.wikimedia.org/wikipedia/commons/d/df/Jagdschlo%C3%9Fgasse_40%2C_Vienna.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2018-11-17 15:30:49,Straße & Hausnummer 'jagdschloßgasse 40' im Bildtext (+0.35) | Sehr gute Geodistanz (88m <= 90m) (+0.25) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
19241,Mithlingerhof Rasenstadt,Neilreichgasse 100,10,"File:GT Rudolf Friemel, Ernst-Ludwig-Gasse 8, Stiege 1, Vienna 02.jpg",0.65,175.5,"https://commons.wikimedia.org/wiki/File:GT_Rudolf_Friemel,_Ernst-Ludwig-Gasse_8,_Stiege_1,_Vienna_02.jpg",https://upload.wikimedia.org/wikipedia/commons/0/0d/GT_Rudolf_Friemel%2C_Ernst-Ludwig-Gasse_8%2C_Stiege_1%2C_Vienna_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2023-06-30 16:04:53,Exakter Hofname 'Mithlingerhof Rasenstadt' im Bildtext (+0.50) | Moderate Geodistanz (176m <= 250m) (+0.05) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
19136,PUTZENDOPLERGASSE 6,Altmannsdorfer Straße 164-182,23,"File:Mosaikwandbild Abstraktion, Altmannsdorfer Straße 164-185.jpg",0.60,153.3,"https://commons.wikimedia.org/wiki/File:Mosaikwandbild_Abstraktion,_Altmannsdorfer_Stra%C3%9Fe_164-185.jpg",https://upload.wikimedia.org/wikipedia/commons/b/b4/Mosaikwandbild_Abstraktion%2C_Altmannsdorfer_Stra%C3%9Fe_164-185.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Thomas Ledl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2017-05-18 18:05:41,Straße & Hausnummer 'altmannsdorfer straße 164' im Bildtext (+0.35) | Gute Geodistanz (153m <= 160m) (+0.15) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
19143,Hueberhof,Quellenstraße 24b,10,File:Wien10 Quellenstraße024b GD Hueber 2019-02-28 4398.jpg,0.60,82.7,https://commons.wikimedia.org/wiki/File:Wien10_Quellenstra%C3%9Fe024b_GD_Hueber_2019-02-28_4398.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Wien10_Quellenstra%C3%9Fe024b_GD_Hueber_2019-02-28_4398.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GuentherZ,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2019-02-28 16:30:35,Straße & Hausnummer 'quellenstraße 24' im Bildtext (+0.35) | Sehr gute Geodistanz (83m <= 90m) (+0.25)
19064,GROSSE PFARRGASSE 16-20,Große Pfarrgasse 16-20,2,File:1020 Große Pfarrgasse 16-20 - Mosaik Ornamentale Flächeneinteilung von Theobald Schmögner 1959 IMG 5789.jpg,0.80,10.2,https://commons.wikimedia.org/wiki/File:1020_Gro%C3%9Fe_Pfarrgasse_16-20_-_Mosaik_Ornamentale_Fl%C3%A4cheneinteilung_von_Theobald_Schm%C3%B6gner_1959_IMG_5789.jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/1020_Gro%C3%9Fe_Pfarrgasse_16-20_-_Mosaik_Ornamentale_Fl%C3%A4cheneinteilung_von_Theobald_Schm%C3%B6gner_1959_IMG_5789.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Ewald Judt ( http://austria-forum.org/af/Infos_zum_AF/Editorial_Board/Judt%2C_Dr._Ewald_%28Wirtschaftswissenschaft%29 ),CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2013-10-25,Straße & Hausnummer 'große pfarrgasse 16' im Bildtext (+0.35) | Hervorragende Geodistanz (10m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10) | Bezirksbezug (2. Bezirk) im Bildtext (+0.05)
